step,x,fx
1,-8.410941124,-0.5282818079
2,-39.4243659973,-0.0807946995
3,-34.5010147095,-0.7248840928
4,-24.5711727142,-1.1644963026
5,-24.8351135254,-1.1642330885
6,-28.0678977966,-1.1167265177
7,-23.9664611816,-1.1632180214
8,-20.8974723816,-1.1198266745
9,-18.0456027985,-1.0325039625
10,-2.5306093693,-0.1568527669
11,11.6021528244,0.5910747647
12,38.8261566162,0.7620763183
13,47.9206542969,0.6877745986
14,22.6144790649,0.8521105647
15,-8.1725635529,-0.5134935379
16,-58.5281944275,6.7919726372
17,-65.9985275269,12.1789941788
18,-62.432144165,9.3721046448
19,-50.7059822083,2.962916851
20,-44.3093681335,0.9339892864
